Time (ms),Motor Speed,PH,Temperature
120,77.714874,,
121,10.81348,,
122,,38.398712,
123,27.270031,,
124,1.6287684,,
125,69.49552,,
126,,16.891157,
127,57.431675,,
128,20.616257,,
129,84.538475,,
130,,37.357872,
131,,61.670197,
132,52.809082,,
133,77.5194,,
134,,87.66886,
135,48.29734,,
136,,83.098564,
137,26.256721,,
138,48.124092,,
139,,15.369815,
140,72.80531,,
141,28.438526,,
142,4.5780954,,
143,,21.434916,
144,40.459282,,
145,,74.06326,
146,,46.683853,
147,,99.3247,
148,67.02553,,
149,65.99036,,
150,79.05456,,
151,,95.89973,
152,56.743504,,
153,50.261528,,
154,,71.2861,
155,,75.81917,
156,28.204298,,
157,30.841839,,
158,,86.55293,
159,23.214834,,
160,19.37269,,
161,,47.04273,
162,,57.884293,
163,,11.572445,
164,64.967575,,
165,86.127815,,
166,,26.247375,
167,89.17433,,
168,44.946526,,
169,,88.46518,
170,,15.20862,
171,45.13339,,
172,,8.797312,
173,78.07842,,
174,,93.21369,
175,,79.349045,
176,51.92103,,
177,17.561876,,
178,66.421425,,
179,98.64167,,
180,,57.59883,
181,43.0638,,
182,,52.54634,
183,0.8727193,,
184,,20.86596,
185,82.4044,,
186,9.309048,,
187,,89.03358,
188,39.07408,,
189,,97.38421,
190,,29.863335,
191,,78.08694,
192,,88.004745,
193,19.95117,,
194,71.96313,,
195,18.77044,,
196,2.1039844,,
197,,71.13349,
198,57.65229,,
199,64.62267,,
200,42.739994,,
201,61.508244,,
202,65.904564,,
203,,51.167976,
204,,69.342896,
205,,72.46426,
206,41.910564,,
207,39.496826,,
208,24.867678,,
209,8.630901,,
210,,63.603233,
211,,0.40453076,
212,9.228319,,
213,93.582825,,
214,,38.532784,
215,,79.801796,
216,,42.18323,
217,,53.293896,
218,52.34654,,
219,91.286415,,
220,,10.609144,
221,,94.80189,
222,,53.89877,
223,,27.56611,
224,54.182594,,
225,,41.158707,
226,,41.41002,
227,68.84845,,
228,68.19527,,
229,,27.979332,
230,9.115052,,
231,93.36438,,
232,92.56131,,
233,1.7658114,,
234,,24.483044,
235,,62.867844,
236,12.03199,,
237,85.67103,,
238,,32.363075,
239,,64.25465,
240,,14.214915,
241,,94.48015,
242,,24.302774,
243,,37.36953,
244,39.202152,,
245,,87.32598,
246,,68.80716,
247,8.62124,,
248,7.4436307,,
249,,44.017864,
250,71.44951,,
251,80.20106,,
252,30.95916,,
253,38.851707,,
254,,22.51551,
255,95.501236,,
256,97.06452,,
257,64.38248,,
258,,94.256516,
259,,12.755215,
260,63.494076,,
261,,26.878225,
262,69.8472,,
263,70.97277,,
264,19.134283,,
265,,95.03862,
266,21.787506,,
267,,24.918478,
268,,45.539837,
269,34.048576,,
270,8.758348,,
271,,59.183167,
272,,60.98571,
273,98.15144,,
274,,26.834839,
275,,65.3234,
276,,41.015827,
277,,86.66411,
278,,33.480686,
279,80.595116,,
280,87.28102,,
281,,90.7198,
282,,60.89163,
283,41.98311,,
284,,59.915733,
285,,71.01265,
286,49.025482,,
287,,5.0289927,
288,97.785225,,
289,10.431355,,
290,,58.050846,
291,13.385963,,
292,,25.642061,
293,79.707565,,
294,,64.966064,
295,,82.07944,
296,87.56243,,
297,,39.067795,
298,,9.784537,
299,75.12859,,
300,51.990223,,
301,,74.36611,
302,,32.95204,
303,,16.484344,
304,,5.298531,
305,32.288124,,
306,,37.556286,
307,72.16537,,
308,,87.985466,
309,,75.954796,
310,17.408306,,
311,,81.02433,
312,,30.45314,
313,29.618347,,
314,,15.220088,
315,91.75242,,
316,,13.775659,
317,19.130308,,
318,,13.872027,
319,84.5309,,
320,14.944053,,
321,43.47552,,
322,18.158699,,
323,,17.164427,
324,,95.78315,
325,,31.90378,
326,54.42065,,
327,,37.581337,
328,60.06726,,
329,51.05436,,
330,,1.1146188,
331,47.26219,,
332,,34.318775,
333,26.95678,,
334,,64.644135,
335,83.45849,,
336,,24.355692,
337,,37.904556,
338,31.666815,,
339,,11.989182,
340,,61.86111,
341,15.936929,,
342,61.61447,,
343,86.95362,,
344,83.07984,,
345,,67.02682,
346,,31.306356,
347,38.875134,,
348,,75.204216,
349,83.06149,,
350,,7.3056817,
351,98.59032,,
352,85.09333,,
353,,72.31594,
354,,1.0639906,
355,,50.6249,
356,,9.6768265,
357,,79.35686,
358,,56.91731,
359,36.84776,,
360,,77.726555,
361,,0.17881393,
362,,33.642918,
363,,98.87059,
364,,88.636246,
365,,23.862171,
366,66.55468,,
367,,55.961292,
368,95.43159,,
369,48.15571,,
370,39.00978,,
371,,64.165184,
372,,6.4400015,
373,,23.125244,
374,,49.718933,
375,,91.87862,
376,,32.88141,
377,,74.37275,
378,,35.39699,
379,,77.29574,
380,,28.098465,
381,,45.31873,
382,97.06,,
383,3.949511,,
384,48.22661,,
385,76.65394,,
386,,82.66967,
387,41.99425,,
388,,13.811409,
389,,10.30488,
390,98.84562,,
391,54.927414,,
392,,67.21267,
393,65.12061,,
394,,60.010075,
395,64.12442,,
396,,1.5918016,
397,,81.97687,
398,,34.599644,
399,,96.86085,
400,83.86101,,
401,,77.10665,
402,14.872914,,
403,17.422295,,
404,,6.1798573,
405,,74.20481,
406,,19.362503,
407,,55.452858,
408,78.41683,,
409,,8.217419,
410,35.16441,,
411,,0.8690536,
412,,17.450493,
413,,6.714773,
414,,21.027256,
415,30.466658,,
416,98.26697,,
417,58.360725,,
418,,21.598482,
419,67.77397,,
420,6.5173206,,
421,,72.228584,
422,,88.204094,
423,54.755444,,
424,,72.530785,
425,16.577732,,
426,,62.182976,
427,31.64571,,
428,72.73629,,
429,1.1929512,,
430,53.066612,,
431,,79.49467,
432,56.02739,,
433,,33.50209,
434,,35.78917,
435,78.93005,,
436,89.81215,,
437,,35.425644,
438,,98.63285,
439,78.19483,,
440,23.322063,,
441,55.275368,,
442,,96.75766,
443,43.69229,,
444,,34.21073,
445,,47.007168,
446,4.9343166,,
447,87.07289,,
448,,58.555267,
449,,17.746895,
450,17.493773,,
451,24.322182,,
452,4.080403,,
453,63.74585,,
454,,13.525992,
455,24.360424,,
456,11.757213,,
457,24.786175,,
458,91.00553,,
459,47.339867,,
460,,61.885548,
461,,87.544556,
462,74.790634,,
463,56.126755,,
464,17.351109,,
465,59.535915,,
466,,20.337463,
467,,8.380693,
468,,58.955383,
469,16.997135,,
470,,67.490295,
471,1.1949897,,
472,95.54833,,
473,2.4339557,,
474,,46.85322,
475,45.43709,,
476,25.15121,,
477,10.542774,,
478,,5.0183654,
479,,92.72932,
480,82.33849,,
481,,54.832005,
482,94.32023,,
483,24.435688,,
484,31.855165,,
485,,51.506252,
486,,67.80512,
487,,39.071457,
488,58.777664,,
489,,92.03953,
490,,30.749464,
491,,42.227764,
492,,61.48362,
493,1.3523817,,
494,,26.329971,
495,,51.404602,
496,,75.27778,
497,,94.62072,
498,74.94347,,
499,,77.071106,
500,41.728394,,
501,52.482666,,
502,44.193542,,
503,30.822807,,
504,,91.6004,
505,31.772877,,
506,99.70575,,
507,,41.681526,
508,,27.728855,
509,,16.902273,
510,,75.70269,
511,32.384075,,
512,78.25795,,
513,95.61407,,
514,8.664698,,
515,,18.932003,
516,,40.378082,
517,12.085581,,
518,97.42157,,
519,,48.72514,
520,,50.025536,
521,10.208469,,
522,88.66509,,
523,85.277695,,
524,,93.96612,
525,30.36825,,
526,,38.141888,
527,,80.81623,
528,,27.266508,
529,,64.15733,
530,,64.6804,
531,,51.984913,
532,71.36362,,
533,3.1940877,,
534,,96.72552,
535,,88.43379,
536,,45.77487,
537,40.583687,,
538,,9.1989155,
539,,79.24216,
540,29.94877,,
541,,96.54474,
542,62.272472,,
543,37.929337,,
544,,60.8376,
545,,43.339092,
546,,83.03696,
547,43.23136,,
548,,46.480865,
549,98.8804,,
550,,76.06752,
551,,89.87264,
552,,16.220177,
553,43.26033,,
554,9.532106,,
555,,61.23748,
556,,34.123466,
557,,87.91961,
558,,99.75844,
559,,94.14723,
560,73.77819,,
561,,93.30433,
562,9.069777,,
563,4.8744917,,
564,89.82037,,
565,,87.58628,
566,79.219124,,
567,,85.07651,
568,24.398428,,
569,,86.38935,
570,,45.89613,
571,56.506054,,
572,55.227493,,
573,51.452137,,
574,18.550575,,
575,,94.158356,
576,25.972355,,
577,,54.770638,
578,64.17049,,
579,88.93879,,
580,,99.403755,
581,,34.00255,
582,3.673035,,
583,,22.986698,
584,,39.1052,
585,,34.778587,
586,,15.210348,
587,,73.46645,
588,56.46416,,
589,,36.05408,
590,39.96224,,
591,,43.937786,
592,56.26378,,
593,,45.74761,
594,2.8822422,,
595,46.343006,,
596,76.39814,,
597,35.651695,,
598,,93.38301,
599,21.199638,,
600,,45.066166,
601,,56.963753,
602,99.09137,,
603,,88.76283,
604,,72.25632,
605,,40.773876,
606,49.573307,,
607,69.722496,,
608,,51.416294,
609,41.45931,,
610,6.323254,,
611,,0.42610168,
612,71.9088,,
613,25.173687,,
614,,30.331814,
615,,94.66867,
616,,33.186733,
617,40.482426,,
618,,69.1906,
619,71.76751,,
620,,7.578081,
621,,33.68398,
622,,31.962234,
623,78.93969,,
624,20.152592,,
625,87.46989,,
626,61.938305,,
627,,84.92643,
628,1.3498425,,
629,68.314835,,
630,,74.927376,
631,,11.358982,
632,,20.87983,
633,,65.35126,
634,,3.8599074,
635,,98.53667,
636,29.86455,,
637,,91.47132,
638,79.26622,,
639,73.08826,,
640,,22.271019,
641,,96.01232,
642,,79.57851,
643,,96.41394,
644,,76.39311,
645,,7.619816,
646,,5.2270055,
647,24.85559,,
648,52.471725,,
649,85.74625,,
650,66.145355,,
651,5.2191377,,
652,,3.4997702,
653,9.730864,,
654,23.569525,,
655,,62.573402,
656,,2.8405607,
657,75.520256,,
658,93.909134,,
659,11.175585,,
660,,4.495138,
661,,1.8268228,
662,,4.989755,
663,33.92452,,
664,,29.686123,
665,,69.88619,
666,,93.109146,
667,,30.91836,
668,,16.88277,
669,33.962337,,
670,43.11989,,
671,,33.494316,
672,,81.473885,
673,,43.363,
674,,3.1455517,
675,16.553814,,
676,,6.0022173,
677,,10.965824,
678,50.556946,,
679,,19.02712,
680,,22.206211,
681,48.119217,,
682,,46.479614,
683,0.0074386597,,
684,52.07171,,
685,61.270046,,
686,92.3731,,
687,,16.385067,
688,46.678543,,
689,71.78366,,
690,,94.11734,
691,6.73818,,
692,98.83369,,
693,,77.15995,
694,,46.560764,
695,,5.7874146,
696,,8.31498,
697,,19.212442,
698,74.62939,,
699,93.89733,,
700,,47.006172,
701,62.76583,,
702,,5.865675,
703,,6.9085417,
704,,5.286294,
705,,17.040342,
706,3.6605,,
707,,93.010124,
708,,0.7432401,
709,,51.130016,
710,60.461,,
711,,5.412674,
712,95.61358,,
713,64.8448,,
714,35.881645,,
715,,62.258167,
716,,0.30758977,
717,,76.67513,
718,25.915646,,
719,,88.503555,
720,,36.960567,
721,,81.75052,
722,,66.337776,
723,78.44082,,
724,99.15844,,
725,14.402157,,
726,5.909914,,
727,82.067055,,
728,71.81784,,
729,,22.30293,
730,33.14456,,
731,23.693674,,
732,68.657776,,
733,22.146242,,
734,4.151523,,
735,6.9850445,,
736,,3.7819922,
737,,60.43853,
738,,98.487114,
739,47.042202,,
740,,38.598263,
741,,47.21862,
742,,24.945265,
743,,97.198395,
744,,35.632896,
745,,65.38027,
746,9.87379,,
747,,5.868763,
748,,6.7556086,
749,83.762566,,
750,,26.869314,
751,,47.09746,
752,64.91215,,
753,18.28617,,
754,68.59828,,
755,,17.371065,
756,,75.66891,
757,92.15161,,
758,19.01138,,
759,80.81809,,
760,57.705944,,
761,,43.479176,
762,57.363106,,
763,75.09019,,
764,99.851776,,
765,16.758125,,
766,14.21774,,
767,,61.0212,
768,46.335335,,
769,53.086452,,
770,,4.017538,
771,10.586328,,
772,51.637573,,
773,,63.42036,
